What is the primary purpose of the story of Palampur?,To introduce basic concepts relating to production through a hypothetical village.
What is the main economic activity in the village of Palampur?,Farming.
Name three examples of non-farm activities carried out in Palampur.,"Small-scale manufacturing, dairy, and transport."
How far is the big village of Raiganj from Palampur?,Raiganj is $3$ kms away.
What kind of road connects Palampur to Raiganj and Shahpur?,An all-weather road.
Approximately how many families live in Palampur?,$450$ families.
Which group in Palampur owns the majority of the land?,The $80$ upper caste families.
What proportion of Palampur's population is comprised of Scheduled Castes (Dalits)?,One third of the population.
What is the primary use of electricity in the fields of Palampur?,It powers all the tubewells for irrigation.
How many schools are available in Palampur?,Two primary schools and one high school.
What healthcare facilities exist in Palampur?,A government primary health centre and one private dispensary.
What is the ultimate aim of production?,To produce the goods and services that people want.
List the four requirements for the production of goods and services.,"Land, labour, physical capital, and human capital."
"In economics, what does the first factor of production, 'land', encompass?","Natural resources such as water, forests, and minerals."
What is the definition of 'labour' as a factor of production?,The people who perform the work required for production.
What is 'physical capital' in the context of production?,The variety of inputs required at every stage during production.
What is 'fixed capital'?,"Tools, machines, and buildings that can be used in production over many years."
Provide two examples of sophisticated machines considered fixed capital.,Generators and turbines.
What is 'working capital'?,Raw materials and money in hand that are used up during the production process.
Identify the working capital used by a weaver and a potter.,Yarn for the weaver and clay for the potter.
What is 'human capital'?,"The knowledge and enterprise needed to combine land, labour, and physical capital to produce output."
What are the 'factors of production'?,"The combination of land, labour, physical capital, and human capital."
What percentage of the working population in Palampur is dependent on farming?,$75\%$ of the people.
What is the basic constraint in raising farm production in Palampur?,The land area under cultivation is practically fixed.
What is the standard unit used for measuring land area?,The hectare.
What are the dimensions of one hectare in metres?,The area of a square with one side measuring $100$ metres.
Name two local units used to discuss land area in Indian villages.,Bigha and guintha.
Which crops are grown in Palampur during the rainy season (Kharif)?,Jowar and bajra.
What is the primary use for jowar and bajra crops in Palampur?,They are used as cattle feed.
Which crop is cultivated in Palampur between October and December?,Potato.
What is the main crop grown during the winter season (Rabi) in Palampur?,Wheat.
Which cash crop is harvested once every year in Palampur?,Sugarcane.
To whom do farmers in Palampur sell their jaggery?,Traders in Shahpur.
What allowed farmers in Palampur to grow three different crops in a year?,A well-developed system of irrigation powered by electricity.
"Before electric tubewells, what did farmers use to draw water from wells?",Persian wheels.
Approximately what percentage of the total cultivated area in India is currently irrigated?,A little less than $40\%$.
What is 'multiple cropping'?,Growing more than one crop on a piece of land during the year.
How is 'yield' measured in agriculture?,As the crop produced on a given piece of land during a single season.
What was the primary difference between traditional seeds and HYV seeds?,HYV seeds promised much greater amounts of grain on a single plant compared to traditional seeds.
When was the Green Revolution introduced in India?,In the late 1960s.
What are three essential requirements for HYV seeds to produce best results?,"Plenty of water, chemical fertilizers, and pesticides."
Which three regions were the first to try modern farming methods in India?,"Punjab, Haryana, and Western Uttar Pradesh."
By how much did the wheat yield per hectare increase in Palampur using HYV seeds?,It increased from $1300$ kg to $3200$ kg per hectare.
How has the Green Revolution affected soil fertility in many areas?,It has led to a loss of soil fertility due to the increased use of chemical fertilizers.
What environmental impact has continuous tubewell irrigation had on the water table?,It has led to the depletion of the water table.
Why do chemical fertilizers reduce long-term soil fertility?,They can kill bacteria and other micro-organisms in the soil.
How many families in Palampur are landless?,$150$ families.
How many families in Palampur cultivate small plots of land less than $2$ hectares?,$240$ families.
What size landholding do medium and large farmers in Palampur typically have?,More than $2$ hectares.
Who provides the labour for small farmers in Palampur?,The farmers themselves and their family members.
From where do farm labourers typically come?,Landless families or families cultivating very small plots of land.
How are farm labourers in Palampur usually paid?,"In wages (cash), in kind (crops), or sometimes with meals."
What was the government-set minimum wage for a farm labourer as of March 2019?,Rs $300$ per day.
Why do farm labourers in Palampur often work for less than the minimum wage?,There is heavy competition for work among the farm labourers.
How do small farmers typically arrange the capital needed for farming?,"By borrowing money from large farmers, moneylenders, or traders at high interest rates."
How do medium and large farmers obtain the capital needed for farming?,From their own savings generated by selling surplus farm products.
What is 'surplus' in the context of farm production?,The portion of produce left over after keeping enough for the family's consumption.
What common non-farm activity involves feeding buffaloes jowar and bajra?,Dairy.
Where is the milk from Palampur's dairy families typically sold?,In the nearby large village of Raiganj.
What does small-scale manufacturing in Palampur typically involve?,Simple production methods done on a small scale at home or in the fields using family labour.
What is the primary activity of shopkeepers in Palampur?,Buying various goods from wholesale markets in cities to sell in the village.
Name three types of people involved in the transport services of Palampur.,"Rickshawallahs, tongawallahs, and tractor drivers."
The aim of production is to create _____ and _____.,Goods and services.
"Tools, machines, and buildings are examples of _____ capital.",Fixed.
Raw materials and money in hand are collectively called _____ capital.,Working.