In which hemisphere is India entirely located?,Northern hemisphere
Between which two latitudes does the mainland of India extend?,Between $8^{\circ}4'N$ and $37^{\circ}6'N$
Between which two longitudes does the mainland of India extend?,Between $68^{\circ}7'E$ and $97^{\circ}25'E$
Which latitude divides India into almost two equal parts?,The Tropic of Cancer ($23^{\circ}30'N$)
Which island group lies in the Bay of Bengal to the southeast of the Indian mainland?,Andaman and Nicobar islands
Which island group lies in the Arabian Sea to the southwest of the Indian mainland?,Lakshadweep islands
What is the total area of the landmass of India?,$3.28$ million square km
India's total area accounts for approximately what percentage of the world's geographical area?,$2.4$ per cent
Where does India rank in the world in terms of total land area?,Seventh largest
What is the approximate length of India's land boundary?,"$15,200$ km"
"What is the total length of India's coastline, including the mainland and island groups?","$7,516.6$ km"
"What type of mountains bound India in the northwest, north, and northeast?",Young fold mountains
At what latitude does India begin to taper and extend towards the Indian Ocean?,South of about $22^{\circ}$ north latitude
Which water body lies to the west of the Indian mainland?,Arabian Sea
Which water body lies to the east of the Indian mainland?,Bay of Bengal
What is the approximate degree extent of both the latitudinal and longitudinal mainland of India?,About $30^{\circ}$
What is the time lag between Gujarat and Arunachal Pradesh?,Two hours
Which longitude is taken as the Standard Meridian of India?,$82^{\circ}30'E$
The Standard Meridian of India passes through which city in Uttar Pradesh?,Mirzapur
How does the latitudinal extent of India affect the duration of day and night?,It influences the duration as one moves from south to north.
Where is the Indian landmass centrally located in relation to Asia?,Between East and West Asia
"Which geographical feature helps India establish close contact with West Asia, Africa, and Europe from the western coast?",The Deccan Peninsula
How has the opening of the Suez Canal in 1869 impacted India?,"It reduced India’s distance from Europe by $7,000$ km."
What was the southernmost point of the Indian Union before it was submerged in 2004?,Indira Point
What caused the submergence of 'Indira Point' in 2004?,A Tsunami
How do India's ancient land routes compare in age to its maritime contacts?,The land routes are much older.
How did ancient travellers primarily enter India through the northern mountains?,Via various mountain passes
Name three Indian literary or mathematical contributions that reached the world via ancient trade routes.,"The Upanishads, the Ramayana, and the decimal system"
Which architectural styles from West Asia influenced Indian construction?,The dome and minarets
What artistic influence from Greece can be seen in different parts of India?,Greek sculpture
How many states and Union Territories does India have according to the source?,28 states and 8 Union Territories
"Before 1947, which type of Indian state was ruled directly by British officials?",Provinces
"Before 1947, who ruled the Princely states in India?","Local, hereditary rulers who acknowledged British sovereignty"
Which countries share India's land boundaries in the northwest?,Pakistan and Afghanistan
Which countries share India's land boundaries in the north?,"China (Tibet), Nepal, and Bhutan"
Which countries share India's land boundaries in the east?,Myanmar and Bangladesh
Which two island countries are India's southern neighbours across the sea?,Sri Lanka and Maldives
Which narrow channel of sea separates Sri Lanka from India?,The Palk Strait
Where are the Maldives Islands situated relative to the Lakshadweep Islands?,To the south of the Lakshadweep Islands
What is the purpose of the 'School Bhuvan' portal?,To provide map-based learning about natural resources and environment based on the NCERT syllabus.
The _____ divides India into two nearly equal parts at $23^{\circ}30'N$.,Tropic of Cancer
India's total area is _____ per cent of the world's area.,$2.4$
The standard time for the whole country is based on the meridian passing through _____.,Mirzapur
"The distance from Europe was reduced by $7,000$ km after the opening of the _____.",Suez Canal
The group of islands lying in the Arabian Sea is _____.,Lakshadweep
The group of islands lying to India's south-east is _____.,Andaman and Nicobar Islands
What is the easternmost longitude of India?,$97^{\circ}25'E$
What is the westernmost longitude of India?,$68^{\circ}7'E$
"Which country does NOT share a land boundary with India: Bhutan, Tajikistan, or Nepal?",Tajikistan
Which Union Territory would you be in if you visited Kavaratti?,Lakshadweep
"Which country has a common frontier with Uttarakhand, Uttar Pradesh, Bihar, West Bengal, and Sikkim?",Nepal
Does the Tropic of Cancer pass through Odisha?,No
What is the northernmost latitude of the Indian mainland in degrees?,$37^{\circ}6'N$
What is the southernmost latitude of the Indian mainland in degrees?,$8^{\circ}4'N$
Which place in India is situated on the confluence of three seas?,Kanniyakumari
Which strait separates Sri Lanka from India?,Palk Strait
What is the length of India's north-south extent in kilometers?,"$3,214$ km"
What is the length of India's east-west extent in kilometers?,"$2,933$ km"
India's _____ position in the Indian Ocean justifies the ocean being named after it.,Eminent
Which water body is located to the west of the Deccan Peninsula?,Arabian Sea
Which water body is located to the east of the Deccan Peninsula?,Bay of Bengal
True or False: The difference between the durations of day and night is hardly felt at Kashmir.,False
Where is the difference between the durations of day and night felt most: Kanniyakumari or Kashmir?,Kashmir
What is the strategic significance of India's central location at the head of the Indian Ocean?,"It connects West Asia, Africa, and Europe with Southeast and East Asia via trans-oceanic routes."
Which organization's initiative is the 'School Bhuvan' portal?,NRSC/ISRO
"What term refers to the local, hereditary rulers of India before 1947?",Princely rulers
India is a _____ extension of the Asian continent.,Southward
Which country borders India to the east and has a common frontier with West Bengal?,Bangladesh
The _____ longitude is taken as the Standard Meridian because it passes through the center of the country.,$82^{\circ}30'E$
Which sea is to the west of India and contains the Lakshadweep islands?,Arabian Sea
Name the two gulfs/straits that separate Sri Lanka from India.,Palk Strait and Gulf of Mannar
How much of India's mainland extent spans in terms of degrees of latitude?,About $30^{\circ}$
India's relationship through _____ routes is much older than its maritime contacts.,Land
Indian spices and muslin were taken to different countries via which historical routes?,Land and sea trade routes
What is the source of Figure 1.2 regarding the seven largest countries?,United Nations Demographic Year Book 2015