What term is used to describe the river system of a specific area?,Drainage
The area drained by a single river system is known as a _____.,drainage basin
"What is the term for an elevated area, like a mountain or upland, that separates two drainage basins?",Water divide
Which river has the world's largest drainage basin?,Amazon river
Which river possesses the largest drainage basin in India?,Ganga
The Indian rivers are primarily divided into two major groups: the Himalayan rivers and the _____ rivers.,Peninsular
Which major tributary of the Ganga rises from the Yamunotri Glacier and meets it at Allahabad?,Yamuna
What is the name of the world's largest and fastest-growing delta formed by the Ganga and Brahmaputra?,Sundarban Delta
The mainstream of the Ganga flows into Bangladesh and is joined by the Brahmaputra to be known as the _____.,Meghna
The Kaveri river rises in the _____ range of the Western Ghats.,Brahmagri
"Due to its length and the area it covers, the Godavari is also known as the _____.",Dakshin Ganga
The Brahmaputra enters India in Arunachal Pradesh through a gorge where it is called the _____.,Dihang
Where are the famous 'Marble rocks' through which the Narmada flows located?,Jabalpur
"Coastal areas feature lagoons like Chilika, Pulicat, and _____ lakes formed by spits and bars.",Kolleru
What type of channel does the Brahmaputra have throughout its length in Assam?,Braided channel
A meandering river that forms cut-offs in its floodplain eventually creates _____ lakes.,ox-bow
What geomorphological feature is created when Himalayan rivers cut through mountains?,Gorges
Name an artificial lake formed by the damming of a river for hydel power in India.,Guru Gobind Sagar (Bhakra Nangal Project)
"What is the name of the second biggest waterfall in India, created by the river Kaveri?",Shivasamudram Falls
The Indus river eventually drains into which large body of water?,Arabian Sea
The Tapi river rises in the _____ ranges in Madhya Pradesh.,Satpura
Where is the source of the river Indus located?,"Tibet, near Lake Mansarowar"
Why are most Peninsular rivers considered seasonal?,Their flow is dependent on rainfall.
What is the total approximate length of the Indus river?,$2900$ km
The river cleaning programme in India began in $1985$ with the launch of the _____.,Ganga Action Plan (GAP)
What is the name of the northernmost point of the Ganga delta where the river bifurcates?,Farakka in West Bengal
Where is the source of the Krishna river located?,Near Mahabaleshwar
What percentage of the world's freshwater is trapped as ice?,Three quarters (of the $3$ per cent available freshwater)
List the three main tributaries of the Ganga that originate from the peninsular uplands.,"Chambal, Betwa, and Son"
The _____ lake in Jammu and Kashmir is the largest freshwater lake in India and was formed by tectonic activity.,Wular
"In their middle and lower courses, rivers form loops known as _____.",meanders
The Mahanadi river rises in the highlands of _____.,Chhattisgarh
In which Indian territory does the Indus river enter the country?,Ladakh
The Brahmaputra is known as _____ in Bangladesh.,Jamuna
From which district in Maharashtra does the Godavari river rise?,Nasik
Which part of a river's course is characterized by intensive erosional activity and the transport of silt and sand?,Upper course
At what point does the Ganga emerge from the mountains onto the plains?,Haridwar
Which two long Peninsular rivers flow west and drain into the Arabian Sea?,Narmada and Tapi
List the five rivers that join together to enter the Indus near Mithankot in Pakistan.,"Satluj, Beas, Ravi, Chenab, and Jhelum"
Name three major left-bank tributaries of the Ganga that rise in the Nepal Himalaya.,"Ghaghara, Gandak, and Kosi"
What is the name of the Ganga's headwaters fed by the Gangotri Glacier?,Bhagirathi
Which city is situated on the water divide between the Indus and the Ganga river systems?,Ambala
"According to the Indus Water Treaty ($1960$), what percentage of the total water can India use?",$20$ per cent
Which lake in Rajasthan is a seasonal salt water lake used for salt production?,Sambhar lake
Why does the Brahmaputra carry less silt in Tibet compared to its course in India?,"Tibet is a cold and dry area, resulting in a smaller volume of water."
What is the name of the Brahmaputra river in Tibet?,Tsang Po
In which state is the Wular lake located?,Jammu and Kashmir
The Narmada river rises in the _____ hills in Madhya Pradesh.,Amarkantak
What characteristic defines Himalayan rivers as 'perennial'?,"They have water throughout the year, fed by rain and melted snow."
Which river is the largest among the Peninsular rivers?,Godavari
Where do most of the rivers of peninsular India originate?,Western Ghats
Name the two major Himalayan rivers that originate from the north of the mountain ranges.,Indus and Brahmaputra
At which location do the Bhagirathi and Alaknanda rivers meet to form the Ganga?,Devaprayag in Uttarakhand
"Which river system's water is primarily used for irrigation in Punjab, Haryana, and Rajasthan under a $1960$ treaty?",Indus river system
The Sundarban Delta is named after the _____ tree.,Sundari
"Through what geological feature does the Narmada flow, formed due to faulting?",Rift valley
What is the primary objective of the National River Conservation Plan (NRCP)?,To improve the water quality of major rivers through pollution abatement work.