What three conditions must a material in the environment meet to be termed a 'Resource'?,"It must be technologically accessible, economically feasible, and culturally acceptable."
"The process of transforming environment materials into resources involves an interactive relationship between nature, technology, and _____.",Institutions
Why are resources not considered 'free gifts of nature'?,They are a function of human activities and require transformation by human beings.
"On the basis of origin, resources are classified into what two categories?",Biotic and Abiotic.
Term: Biotic Resources,"Definition: Resources obtained from the biosphere that have life, such as human beings, flora, and fauna."
Term: Abiotic Resources,"Definition: Resources composed of non-living things, such as rocks and metals."
How are resources classified on the basis of exhaustibility?,Renewable and Non-renewable.
"Resources that can be reproduced by physical, chemical, or mechanical processes are called _____ resources.",Renewable
What is the primary characteristic of Non-renewable resources regarding their formation time?,They take millions of years in their formation.
Give an example of an 'International Resource'.,Oceanic resources beyond 200 nautical miles of the Exclusive Economic Zone.
What is a 'Potential Resource'?,"A resource found in a region but not yet utilized, such as solar energy in Rajasthan."
Term: Developed Resources,Definition: Resources that are surveyed and determined for quality and quantity for utilization based on technology and feasibility.
"In resource classification, what is the 'Stock'?","Materials in the environment with potential to satisfy needs, but for which humans lack the required technology."
How do 'Reserves' differ from 'Stock'?,Reserves are a subset of stock that can be put into use with existing technical 'know-how' but have not yet been started.
What are the three major problems caused by the indiscriminate use of resources?,"Resource depletion, accumulation in a few hands (social division), and global ecological crises."
Define 'Sustainable economic development'.,Development that takes place without damaging the environment and does not compromise the needs of future generations.
Where and when was the first International Earth Summit held?,"Rio de Janeiro, Brazil, in June 1992."
What is 'Agenda 21'?,"A declaration aimed at achieving global sustainable development and combating environmental damage, poverty, and disease."
What is the major objective for local governments under Agenda 21?,Every local government should draw its own local Agenda 21.
What is the first step in the complex process of resource planning in India?,Identification and inventory of resources across the regions of the country.
Why is resource planning essential in a country like India?,Because of the enormous diversity and regional imbalances in the availability of resources.
Which Indian states are specifically noted for being rich in minerals and coal deposits?,"Jharkhand, Chhattisgarh, and Madhya Pradesh."
"According to Gandhiji, what was the root cause for resource depletion at the global level?",The greed of individuals and the exploitative nature of modern technology.
In which book did Schumacher present Gandhian philosophy regarding resource conservation?,Small is Beautiful
Which 1987 report introduced the concept of 'Sustainable Development' as a means for resource conservation?,The Brundtland Commission Report.
"What percentage of India's land area is 'Plain', and what is its primary use?",43 per cent; it provides facilities for agriculture and industry.
What percentage of India's surface area is occupied by Mountains?,30 per cent.
What are the primary resources found in India's Plateau region (27% of land)?,"Minerals, fossil fuels, and forests."
What is the total geographical area of India?,3.28 million sq km.
Why is land use data available for only 93 per cent of India's total area?,"Reporting for most North-east states is incomplete, and some areas in Jammu and Kashmir are unsurveyed."
Define 'Net Sown Area'.,The physical extent of land on which crops are sown and harvested.
"According to the National Forest Policy (1952), what is the desired percentage of forest area in the country?",33 per cent of the geographical area.
What states in India have a Net Sown Area of over 80 per cent?,Punjab and Haryana.
What human activities are major contributors to land degradation?,"Deforestation, overgrazing, mining, and quarrying."
How does mining cause land degradation in states like Jharkhand and Odisha?,"Mining sites are abandoned after excavation, leaving deep scars and traces of over-burdening."
What is the main cause of land degradation in states like Gujarat and Rajasthan?,Overgrazing.
Why does over-irrigation lead to land degradation in Punjab and Haryana?,"It causes water logging, which increases salinity and alkalinity in the soil."
What is one method to check land degradation in arid areas?,Stabilization of sand dunes by growing thorny bushes.
How long does it take for nature to form soil up to a few centimeters in depth?,Millions of years.
What are the four layers of a typical 'Soil Profile'?,"Top soil, subsoil (weathered rocks/silt/clay), substratum (weathered parent rock), and unweathered parent bed rock."
"Which soil type is the most widely spread and important in India, making up the entire northern plains?",Alluvial Soil.
Alluvial soil is deposited by which three major Himalayan river systems?,"The Indus, the Ganga, and the Brahmaputra."
What is the difference between 'Bangar' and 'Khadar' alluvial soil?,"Bangar is old alluvial with more 'kanker' nodules; Khadar is new alluvial, finer, and more fertile."
Which crops are ideal for growth in fertile Alluvial soils?,"Sugarcane, paddy, wheat, and other cereal and pulse crops."
Term: Black Soil,"Definition: Also known as Regur soil, it is black in colour and ideal for growing cotton."
Which region in India is characterized by Black soil formed from lava flows?,The Deccan trap (Basalt) region.
What unique physical property allows Black soil to be highly productive for agriculture?,Its capacity to hold moisture due to its clayey material.
Why does 'Red Soil' develop a reddish color?,Due to the diffusion of iron in crystalline and metamorphic rocks.
Under what climate conditions does Laterite soil typically develop?,Tropical and subtropical climates with alternate wet and dry seasons.
Term: Laterite Soil,"Definition: A deeply acidic ($pH < 6.0$) soil resulting from intense leaching due to heavy rain, derived from the Latin word for 'brick'."
In which states is Laterite soil particularly useful for growing tea and coffee?,"Karnataka, Kerala, and Tamil Nadu."
Why is Arid soil generally saline in nature?,"Due to dry climate and high temperatures, which cause fast evaporation."
Where are Forest soils typically found?,Hilly and mountainous areas with sufficient rain forests.
What is the definition of 'Soil Erosion'?,The denudation of the soil cover and its subsequent washing down.
Term: Gully Erosion,"Definition: Running water cutting through clayey soils to make deep channels called gullies, rendering land unfit for cultivation."
What is 'Bad Land' or 'Ravines' in the context of soil erosion?,"Land made unfit for cultivation by gully erosion, specifically called ravines in the Chambal basin."
What is 'Sheet Erosion'?,When the top layer of soil is washed away by water flowing as a sheet over a large area.
How does 'Contour Ploughing' help conserve soil?,Ploughing along contour lines decelerates the flow of water down slopes.
Term: Terrace Cultivation,"Definition: Cutting steps out on slopes to create terraces, which restricts soil erosion."
How does 'Strip Cropping' prevent soil erosion?,Strips of grass are left between crops to break up the force of the wind.
What are 'Shelter Belts'?,"Rows of trees planted to create shelter, which stabilize sand dunes and deserts."
"Which soil type is well-known for being rich in calcium carbonate, magnesium, potash, and lime?",Black soil.
"In which region of India are 'Duars, Chos and Terai' piedmont plains common, featuring coarse alluvial soils?",In the upper reaches of river valleys near the break of slope.
What is the primary cause of land degradation in the state of Uttarakhand according to practice questions?,"It is a state where terrace cultivation is practiced to prevent degradation, rather than being a primary 'cause' of it."
Which commission report introduced 'Our Common Future' and global sustainable development?,The Brundtland Commission Report.