How do humans and other living organisms relate within the global ecological system?,They form a complex web where humans are only a part and are dependent on the system for existence.
Why are forests considered the primary producers in an ecological system?,All other living beings depend on them for survival and resources.
"Which three basic life support systems are re-created by plants, animals, and micro-organisms?","Air, water, and soil."
What is the status of India's biological diversity relative to the number of species known globally?,"India is one of the world's richest countries, with species numbers possibly twice or thrice what is currently discovered."
"The immense richness of wildlife and cultivated species, closely integrated through a network of interdependencies, is known as _____.",Biodiversity (or Biological Diversity)
"According to the Lepcha folk song, who is the creator of music in the world?",Narak
Why is conservation of genetic diversity important in agriculture and fisheries?,"It ensures better growth and breeding of species, such as traditional crop varieties and aquatic organisms."
In which year was the Indian Wildlife (Protection) Act implemented?,1972
What was the primary thrust of the 1972 national wildlife protection programme?,"Protecting endangered species by banning hunting, protecting habitats, and restricting wildlife trade."
List three specific animals targeted by central government protection projects due to being gravely threatened.,"Tiger, one-horned rhinoceros, and the Kashmir stag (hangul)."
Which three types of crocodiles are currently protected under Indian conservation projects?,"Freshwater crocodile, saltwater crocodile, and the Gharial."
"Which bird, also known as 'godawan', has recently been given legal protection against hunting in India?",Great Indian bustard
What was the estimated tiger population in India at the turn of the century compared to the count in 1973?,"It dwindled from an estimated 55,000 to only 1,827."
Why are India and Nepal considered prime targets for tiger poaching and illegal trading?,These two nations provide habitat to about two-thirds of the world's surviving tiger population.
When was the 'Project Tiger' wildlife campaign officially launched?,1973
What is the broader goal of tiger conservation beyond saving an endangered species?,Preserving biotypes of sizeable magnitude.
In which Indian state is Corbett National Park located?,Uttarakhand
In which Indian state is the Sunderbans National Park located?,West Bengal
In which Indian state is the Bandhavgarh National Park located?,Madhya Pradesh
In which Indian state is the Sariska Wildlife Sanctuary located?,Rajasthan
In which Indian state is the Manas Tiger Reserve located?,Assam
In which Indian state is the Periyar Tiger Reserve located?,Kerala
"Under the Wildlife Act notifications of 1980 and 1986, which group of organisms began to find a place in conservation planning?","Insects (including butterflies, moths, beetles, and dragonflies)."
In what year were plants first added to the list of protected species in India?,1991
Term: Reserved Forests,Definition: More than half of total forest land regarded as the most valuable for conserving forest and wildlife resources.
Term: Protected Forests,Definition: Almost one-third of total forest area declared by the Forest Department to be safe from further depletion.
Term: Unclassed Forests,Definition: Forests and wastelands belonging to both government and private individuals or communities.
Which two forest categories are collectively referred to as 'permanent forest estates'?,Reserved and protected forests.
"Which Indian state has the largest area under permanent forests, accounting for 75 percent of its total forest area?",Madhya Pradesh
Which regions in India have a very high percentage of their forests as unclassed forests managed by local communities?,All North-eastern states and parts of Gujarat.
"How did villagers in Sariska Tiger Reserve, Rajasthan, use the Wildlife Protection Act to conserve their habitat?",They fought against mining activities by citing the provisions of the Act.
"The inhabitants of five villages in the Alwar district of Rajasthan declared 1,200 hectares of forest as the _____.",Bhairodev Dakav ‘Sonchuri’
What is the significance of the Bhairodev Dakav ‘Sonchuri’ regulations?,The community set its own rules banning hunting and protecting wildlife against outside encroachments.
The Chipko movement in the Himalayas is famous for resisting _____ and promoting community afforestation.,Deforestation
What have citizen's groups like Beej Bachao Andolan and Navdanya proven regarding crop production?,Adequate levels of diversified crop production are possible without synthetic chemicals.
Term: Joint Forest Management (JFM),Definition: A programme involving local communities in the management and restoration of degraded forests.
Which state passed the first formal resolution for Joint Forest Management (JFM) in 1988?,Odisha
"In the JFM programme, what entitles community members to intermediary benefits like non-timber forest produce?",Successful protection of degraded forest land managed by the forest department.
Term: Sacred Groves,Definition: Virgin forest patches left untouched by local people due to the belief that all nature's creations are protected by God.
Which tribes of the Chota Nagpur region worship the mahua and kadamba trees?,The Mundas and the Santhals.
Identify the scientific name of the mahua tree: _____.,$\textit{Bassia latifolia}$
Identify the scientific name of the kadamba tree: _____.,$\textit{Anthocaphalus cadamba}$
"During weddings, which two trees are worshipped by the tribals of Odisha and Bihar?",Tamarind and mango trees.
Identify the scientific name of the tamarind tree: _____.,$\textit{Tamarindus indica}$
Identify the scientific name of the mango tree: _____.,$\textit{Mangifera indica}$
"Which community in Rajasthan protects herds of blackbuck, nilgai, and peacocks as an integral part of their life?",Bishnoi villages
"Which historical figure is quoted as saying a tree 'affords protection to all beings, offering shade even to the axemen who destroy it'?",Gautama Buddha
"Under the 1972 Act, what type of all-India list was published to help target protection efforts?",A list of protected species.
What is the primary reason for the recent decline in India's flora and fauna biodiversity?,Insensitivity to our environment.
What condition must developmental activities meet to be considered acceptable for conservation goals?,"They must be people-centric, environment-friendly, and economically rewarding."