Approximately what fraction of the Earth’s surface is covered with water?,$\frac{3}{4}$
What natural process ensures that water is a renewable resource?,The hydrological cycle
How is freshwater mainly obtained and recharged through the hydrological cycle?,Through surface run-off and ground water.
By which year is it predicted that nearly two billion people will live in absolute water scarcity?,$2025$
"Besides low rainfall, what are three primary causes of water scarcity?","Over-exploitation, excessive use, and unequal access."
Why does a large and growing population lead to water scarcity?,It increases domestic demand and requirements for food-grain production.
Which sector is the largest consumer of water resources?,Irrigated agriculture
What is the potential negative impact of farmers using private wells and tube-wells for dry-season agriculture?,Falling groundwater levels and reduced water availability for the community.
How has intensive industrialization post-independence worsened water scarcity?,Industries exert pressure on freshwater resources for both use and hydroelectric power.
What describes the 'qualitative' aspect of water scarcity despite ample quantity?,"Water pollution by domestic wastes, chemicals, and industrial effluents."
What is the primary goal of the Jal Jeevan Mission (JJM)?,To provide $55$ litres per capita per day of potable piped water to every rural household.
The _____ scheme aims to bring behavioral change in water-stressed communities from consumption to conservation.,Atal Bhujal Yojana (Atal Jal)
Where was a sophisticated water harvesting system channelling the Ganga's flood water built in the $1^{st}$ century B.C.?,Sringaverapura near Allahabad
Which $11^{th}$ century structure was one of the largest artificial lakes of its time?,Bhopal Lake
"The tank in Hauz Khas, Delhi, was constructed in the $14^{th}$ century by _____.",Iltutmish
"In modern water management, the term 'dam' refers specifically to the _____ rather than the physical structure.",reservoir
How are dams classified based on their structure and materials?,"Timber dams, embankment dams, or masonry dams."
Which river project in the Sutluj-Beas basin provides both hydel power and irrigation?,Bhakra-Nangal project
The Hirakud project is located in the _____ river basin.,Mahanadi
Who referred to multi-purpose projects as the 'temples of modern India'?,Jawaharlal Nehru
How does regulating rivers with dams affect the stream beds for aquatic life?,"It causes excessive sedimentation, making stream beds rockier."
What is a major reason aquatic fauna find it difficult to migrate in dammed rivers?,Rivers are fragmented by the dam structure.
Why do reservoirs on floodplains contribute to land degradation over time?,"Submerged vegetation and soil decompose, and the plains are deprived of natural silt."
Concept: Multi-purpose river projects,"Definition: Large-scale projects integrating multiple uses of impounded water such as irrigation, power, and flood control."
What ecological consequence often results from soil salinisation due to intensive irrigation?,Permanent degradation of soil fertility.
The objective 'per drop more crop' is a central feature of which government scheme?,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY)
"Which major dam project covers the states of Maharashtra, Madhya Pradesh, Gujarat, and Rajasthan?",Sardar Sarovar Dam
On which river is the Sardar Sarovar Dam built?,Narmada River
The Krishna-Godavari dispute is primarily centered on the diversion of water at _____ by the Maharashtra government.,Koyna
What are 'guls' or 'kuls'?,Diversion channels built in the Western Himalayas for agricultural irrigation.
In which region of India were inundation channels traditionally developed for irrigation?,The flood plains of Bengal
Term: Khadins,Definition: Agricultural fields in Jaisalmer converted into rain-fed storage structures to moisten the soil.
"What is the local term for the storage structures in Rajasthan similar to khadins, used in other parts of the state?",Johads
"In semi-arid regions of Rajasthan, what are 'tankas'?",Underground tanks used for storing harvested rooftop rainwater for drinking.
"What is the specific term for rainwater in Rajasthan, considered the purest form of natural water?",Palar pani
Why is the first spell of rain usually not collected in rooftop harvesting systems?,To clean the roof and the pipes of debris and dust.
Why is rooftop rainwater harvesting declining in western Rajasthan today?,The availability of perennial water from the Indira Gandhi Canal.
Which remote village in Karnataka is notable for having rainwater harvesting in nearly $200$ households?,Gendathur
Which Indian state was the first to make rooftop rainwater harvesting compulsory for all houses?,Tamil Nadu
How much of the total water requirement of a household in Shillong typically comes from rooftop harvesting?,$15$-$25$ per cent
Meghalaya uses a $200$-year-old irrigation system that taps stream water using _____.,bamboo pipes
"In bamboo drip irrigation, approximately how many drops per minute are applied at the plant site?",$20$-$80$ drops
Why does Shillong face acute water shortage despite being near the rainiest places on Earth?,Inefficient water management and lack of storage infrastructure compared to demand.
Which two locations near Shillong receive the highest rainfall in the world?,Cherapunjee and Mawsynram
What is a 'spillway' or 'weir' in a dam structure?,A section designed for water to flow over or through intermittently or continuously.
How does excessive irrigation in semi-arid regions lead to soil salinisation?,"Evaporation of water leaves salts behind, which accumulate in the topsoil."
The Damodar river was traditionally known as the 'river of _____' due to its frequent flooding.,sorrow
"According to height, what are the three categories of dams?","Low dams, medium height dams, and high dams."
What is the primary reason for the opposition to the Narmada Bachao Andolan?,Large-scale displacement of local communities and environmental degradation.
"In ancient India, who is credited with extensively building dams, lakes, and irrigation systems?",Chandragupta Maurya
What is the intended outcome of the 'Atal Jal' scheme regarding community attitude?,Moving from an attitude of consumption to one of conservation and smart management.
Why were multi-purpose projects launched immediately after India's independence?,To serve as vehicles for national development and overcome the colonial economic handicap.
What is 'dry farming'?,Agricultural techniques designed to produce crops in regions with low rainfall without irrigation.
How can multi-purpose projects cause earthquakes?,The massive weight of impounded water in reservoirs can induce seismic activity.
"In the Phalodi region, why were rooms built adjoining 'tankas'?",To keep the rooms cool during the summer heat.
What is the collection efficiency of the rooftop rainwater harvesting system in Gendathur?,$80$ per cent
Approximately how many litres of water can a single house in Gendathur collect annually through harvesting?,"$50,000$ litres"
What are the broad classifications of dams based on structure and materials?,"Timber, embankment, and masonry dams."
How much of the command area in Gujarat for the Sardar Sarovar Project is drought-prone?,$75$ per cent
The 'guls' or 'kuls' are primarily used for what activity?,Agriculture