What is the definition of 'manufacturing'?,The production of goods in large quantities after processing from raw materials to more valuable products.
In which economic sector do manufacturing industries fall?,The secondary sector.
How is the economic strength of a country measured?,By the development of its manufacturing industries.
Why is the manufacturing sector considered the 'backbone' of development?,It modernizes agriculture and reduces the heavy dependence on agricultural income by providing jobs in secondary and tertiary sectors.
What was the main philosophy behind public sector industries and joint sector ventures in India?,To eradicate unemployment and poverty and bring down regional disparities.
How does the export of manufactured goods benefit trade and commerce?,It expands trade and brings in much-needed foreign exchange.
What is the relationship between agriculture and industry in India?,"They are not exclusive and move hand in hand, with agro-industries boosting agricultural productivity."
What requirement must Indian manufactured goods meet to compete in the international market under globalization?,They must be at par in quality with goods in the international market.
On what basis are industries classified as 'Agro-based' or 'Mineral-based'?,On the basis of the source of raw materials used.
Name three examples of agro-based industries.,"Cotton, woollen, jute, silk textile, rubber, sugar, tea, coffee, or edible oil."
Name three examples of mineral-based industries.,"Iron and steel, cement, aluminium, machine tools, or petrochemicals."
What is the definition of a 'Basic' or 'Key' industry?,Industries that supply their products as raw materials to manufacture other goods.
What is the primary characteristic of a 'Consumer' industry?,"It produces goods for direct use by consumers, such as toothpaste, paper, or fans."
How is a small-scale industry defined currently in India?,"By the maximum investment allowed on the assets of a unit, which is currently one crore rupees."
What defines a 'Public Sector' industry?,"It is owned and operated by government agencies, such as BHEL or SAIL."
What defines a 'Joint Sector' industry?,"It is jointly run by the state and individuals or a group of individuals, such as Oil India Ltd. ($OIL$)."
How are 'Cooperative Sector' industries operated?,"They are owned and operated by the producers or suppliers of raw materials, workers, or both, who pool resources and share profits/losses."
What is the difference between heavy and light industries?,"Heavy industries use bulky/heavy raw materials and finished goods, while light industries use light raw materials and produce light goods."
Which industry occupies a unique position in the Indian economy by being self-reliant and complete in the value chain?,The textile industry.
Where and when was the first successful textile mill established in India?,Mumbai in 1854.
What factors contributed to the localization of the cotton textile industry in Maharashtra and Gujarat?,"Availability of raw cotton, market, transport, port facilities, labour, and moist climate."
Why is weaving in the cotton textile industry highly decentralized?,"To provide scope for incorporating traditional skills and designs in weaving cotton, silk, zari, and embroidery."
What is India's global rank in the production of raw jute and jute goods?,Largest producer of raw jute and jute goods.
Where and when was the first jute mill set up in India?,"Rishra, near Kolkata, in 1855."
What happened to the jute industry after the Partition of India in 1947?,"The mills remained in India, but three-fourth of the jute-producing area went to Bangladesh (erstwhile East Pakistan)."
Why are most jute mills in India located along the banks of the Hugli river?,"Due to proximity to jute-growing areas, inexpensive water transport, and abundant water for processing."
What is India's world rank in sugar production?,Second.
In the production of which two items does India occupy the first place globally?,Gur and khandsari.
Why is the sugar industry seasonal in nature and suited to the cooperative sector?,Because the raw material (sugarcane) is bulky and its sucrose content reduces during haulage.
Why is there a tendency for sugar mills to shift to southern and western states like Maharashtra?,The cane there has higher sucrose content and the cooler climate ensures a longer crushing season.
Why is the iron and steel industry referred to as the 'basic industry'?,"All other industries (heavy, medium, and light) depend on it for their machinery."
"What ratio of iron ore, coking coal, and limestone is required to produce steel?",Approximately $4:2:1$.
What mineral is required to harden steel during the manufacturing process?,Manganese.
Which region of India has the maximum concentration of iron and steel industries?,The Chhotanagpur plateau region.
What are the primary properties of aluminium that make it popular in manufacturing?,"It is light, resistant to corrosion, a good conductor of heat, and malleable."
What is the second most important metallurgical industry in India?,Aluminium smelting.
What is the raw material used in aluminium smelters?,Bauxite.
What are the two prime factors for the location of the aluminium industry?,Regular supply of electricity and an assured source of raw material at minimum cost.
"The inorganic chemical industry includes the production of _____ acid, which is used for fertilizers, plastics, and dyes.",Sulphuric
What is a unique characteristic of the chemical industry regarding its consumption?,It is its own largest consumer.
"The fertilizer industry in India produces nitrogenous fertilizers, primarily _____.",Urea
Why is potash entirely imported in India?,The country does not have any reserves of commercially usable potash or potassium compounds.
Which states contribute toward half of India's fertilizer production?,"Gujarat, Tamil Nadu, Uttar Pradesh, Punjab, and Kerala."
What are the bulky and heavy raw materials required for the cement industry?,"Limestone, silica, and gypsum."
Where was the first cement plant in India set up in 1904?,Chennai.
Which city is known as the 'electronic capital of India'?,Bengaluru.
What has been the major impact of the IT and electronics industry on the Indian population?,Major employment generation.
What are the four main types of pollution caused by industries?,"Air, water, land, and noise pollution."
Which two gases are primarily responsible for industrial air pollution?,Sulphur dioxide and carbon monoxide.
What device can be fitted in factory smokestacks to reduce particulate matter in the air?,Electrostatic precipitators (or fabric filters).
How does the automobile industry benefit from liberalization in India?,The introduction of new models stimulated market demand and led to healthy growth.
Which specific industry's production and consumption is often used as an index of a country's development?,Iron and steel industry.
Term: Petrochemicals,"Definition: Organic chemicals used for manufacturing synthetic fibers, rubber, plastics, and pharmaceuticals."
"In the process of manufacturing aluminium, how many tonnes of alumina are produced from $4$ to $6$ tonnes of bauxite?",$2$ tonnes.
What is the role of soda ash in the chemical industry?,"It is used to make glass, soaps, detergents, and paper."
Why are agro-industries in India considered to have given a major boost to agriculture?,"By raising its productivity through the sale of fertilizers, pumps, and tools."
What determines the localized concentration of the jute industry in West Bengal?,"Proximity to raw materials and a network of railways, roadways, and waterways for transport."
"Which industry includes the production of complex fertilizers containing Nitrogen ($N$), Phosphate ($P$), and Potash ($K$)?",The fertilizer industry.
How does manufacturing expand trade and commerce?,By exporting finished goods of higher value.
Process: Steel Manufacture,Sequence: Iron ore melting (Blast Furnace) $\rightarrow$ Pig Iron $\rightarrow$ Steel Making (purifying and adding manganese/nickel/chromium) $\rightarrow$ Shaping Metal.