What percentage of the world’s total area was deforested between 1700 and 1995?,9.3 per cent.
By what amount did the cultivated area in India rise between 1880 and 1920?,6.7 million hectares.
What Latin term was used by white settlers in Australia to claim the continent was empty and uninhabited?,Terra nullius.
Identify the names used for shifting cultivation in Africa.,Chitemene or tavy.
What is shifting cultivation called in Sri Lanka?,Chena.
Which nomadic community was known for trading goods like silk cocoons and ivory since the medieval period?,Banjaras.
Which three forest communities were frequently recruited to work on Assam tea plantations under poor conditions?,"Santhals, Oraons, and Gonds."
Which river flows east to west across the region of Bastar?,Indrawati.
Who is remembered as an important figure of the 1910 rebellion from village Nethanar?,Gunda Dhur.
"In addition to pastoralists, which other community's livelihood changes are a focus of Section II?",Forest dwellers.
Forest oil used in the production of chocolates is derived from the seeds of which tree?,Sal seeds.
Which forest-derived substance is used to convert skins and hides into leather?,Tannin.
The _____ creeper is commonly used in forest areas to manufacture ropes.,Siadi (Bauhinia vahlii)
The thorny bark of which tree is used by forest communities to grate vegetables?,Semur (silk-cotton) tree.
"In one forest patch in the Western Ghats or the Amazon, it is possible to find up to _____ different plant species.",500
How many million square kilometers of forest were cleared globally between 1700 and 1995?,13.9 million sq km.
Approximately what fraction of India’s landmass was under cultivation in the year 1600?,One-sixth.
Identify the four main commercial crops encouraged by the British in 19th-century India.,"Jute, sugar, wheat, and cotton."
"In the early 19th century, the colonial state viewed forests as _____ that needed to be converted for agriculture.",Unproductive wilderness.
"In his 1896 writing on Honduras, Richard Harding argued that land belonged to the power willing to _____.",Turn it to account (or improve it).
The United Fruit Company's immense power over Central American governments led to those countries being called _____.,Banana Republics.
The Ngarrindjeri people of Australia plotted their land according to the symbolic body of which first ancestor?,Ngurunderi.
The disappearance of which specific tree species in England caused a timber supply crisis for the Royal Navy?,Oak.
Term: Sleepers,Definition: Wooden planks laid across railway tracks to hold them in position.
Approximately how many sleepers were required for every single mile of railway track laid in India?,"1,760 to 2,000 sleepers."
"By 1946, the length of railway tracks in India had increased to over _____ km.","765,000"
"In the 1850s, how many trees were being cut annually in the Madras Presidency specifically for railway sleepers?","35,000 trees."
Which three primary commodities were grown on plantations established by clearing natural forests?,"Tea, coffee, and rubber."
Who was appointed as the first Inspector General of Forests in India?,Dietrich Brandis.
In what year was the Indian Forest Service (IFS) established?,1864
The Indian Forest Act was first enacted in _____.,1865
Where was the Imperial Forest Research Institute set up in 1906?,Dehradun.
Term: Scientific Forestry,Definition: A system where natural forests are replaced with one type of tree planted in straight rows for controlled cutting.
The 1878 Forest Act amendment divided Indian forests into which three categories?,"Reserved, protected, and village forests."
"According to the 1878 Forest Act, from which forest category were villagers strictly prohibited from taking anything?",Reserved forests.
What was the Forest Department's primary requirement for tree species used in ships and railways?,"Trees that were tall, straight, and provided hard wood."
Which two specific tree species were most heavily promoted by the Forest Department for commercial use?,Teak and sal.
The seeds of the mahua tree are used by forest communities to produce _____.,Oil.
The flowers of the mahua tree are used for food or to manufacture _____.,Alcohol.
"The sale of _____ leaves, used for bidis, is a major source of income for forest dwellers.",Tendu.
What is the Southeast Asian name for shifting cultivation?,Lading.
What is the Central American name for shifting cultivation?,Milpa.
List three local Indian terms for shifting cultivation mentioned in the text.,"Dhya, penda, bewar (also nevad, jhum, podu, khandad, kumri)."
"In shifting cultivation, how many years are plots typically left fallow for the forest to grow back?",12 to 18 years.
Why did European foresters consider shifting cultivation harmful to timber production?,They feared it prevented the growth of railway timber and posed fire risks.
Which system in Burma allowed local farmers to cultivate temporarily within a plantation?,Taungya cultivation.
"Between 1875 and 1925, approximately how many tigers were killed in India for rewards?","Over 80,000."
Which British administrator is noted for killing 400 tigers?,George Yule.
"Under British rule, which nomadic communities in the Madras Presidency were labeled as 'criminal tribes'?","Korava, Karacha, and Yerukula."
The extraction of rubber in the Putumayo region of the Amazon relied on the forced labor of which people?,Huitotos.
The Mundurucu people of the Brazilian Amazon became dependent on traders after they began collecting _____ from wild trees.,Latex.
Who were the two prominent leaders of the Santhal Parganas rebellion against the British?,Siddhu and Kanu.
Name the leader of the forest rebellion in Chhotanagpur.,Birsa Munda.
Alluri Sitarama Raju led a forest movement in which Indian state?,Andhra Pradesh.
In which southernmost part of Chhattisgarh is the kingdom of Bastar located?,"The plateau bordering Andhra Pradesh, Orissa, and Maharashtra."
What is the fee called that Bastar villagers pay to take wood from another village's forest?,"Devsari, dand, or man."
Term: Forest Villages,Definition: Villages allowed to remain in reserved forests on the condition they provided free labor for the forest department.
The initiative for the 1910 Bastar rebellion was taken by the _____ of the Kanger forest.,Dhurwas.
List the four symbolic items circulated between villages to invite people to join the Bastar rebellion.,"Mango boughs, a lump of earth, chillies, and arrows."
In what year did the colonial government propose to reserve two-thirds of Bastar's forests?,1905
Which forest community of Central India petitioned the government in 1892 after their shifting cultivation was stopped?,Baigas.
A _____ is a cluster of villages in Bastar where headmen meet to discuss issues like forest management.,Pargana.
"During the 1910 Bastar rebellion, which town did the police, merchants, and schoolmasters flee to?",Jagdalpur.
"Between 1700 and 1995, deforestation was driven by industrial uses, cultivation, fuelwood, and _____.",Pastures.
"In forest society, what forest product is commonly used to make umbrellas and baskets?",Bamboo.