"In Frédéric Sorrieu's 1848 prints, what does his 'utopian vision' depict?",A world made up of 'democratic and social Republics' with peoples grouped as distinct nations.
Term: Absolutist,"Definition: A government or system of rule with no restraints on the power exercised, often monarchical and repressive."
What is a 'Utopian' vision of society?,A vision of a society so ideal that it is unlikely to actually exist.
"In 19th-century art, how was Liberty typically personified?",As a female figure bearing the torch of Enlightenment and the Charter of the Rights of Man.
What do the shattered remains in the foreground of Sorrieu's 1848 print symbolize?,The end of absolutist institutions.
Which two nations led the procession in Sorrieu's print because they were already nation-states by 1848?,The United States and Switzerland.
"In Sorrieu's 'The Pact Between Nations', what does the presence of Christ, saints, and angels symbolize?",Fraternity among the nations of the world.
What defines a 'nation-state' according to the text?,A state where the majority of citizens share a sense of common identity and history.
"According to Ernst Renan, what is the 'social capital' upon which a national idea is based?","A heroic past, great men, and glory."
Ernst Renan describes the existence of a nation as a 'daily _____' to emphasize the inhabitants' right to be consulted.,plebiscite
Term: Plebiscite,Definition: A direct vote by which all people of a region are asked to accept or reject a proposal.
What event is credited with the first clear expression of nationalism in 1789?,The French Revolution.
How did the French Revolution change the concept of sovereignty?,It transferred sovereignty from the monarchy to a body of French citizens.
What did the French revolutionary ideas of 'la patrie' and 'le citoyen' emphasize?,A united community enjoying equal rights under a constitution.
What replaced the former royal standard as the national flag of France during the Revolution?,The tricolour.
The Estates General was renamed the _____ after being elected by the body of active citizens.,National Assembly
How did French revolutionaries promote a common language for the nation?,By discouraging regional dialects and promoting French as spoken in Paris.
What was the stated 'mission' of the French nation regarding the rest of Europe?,To liberate other peoples from despotism and help them become nations.
Which groups in European cities began setting up Jacobin clubs after news of the French Revolution spread?,Students and members of the educated middle classes.
What is the more common name for the Civil Code of 1804?,The Napoleonic Code.
What were the three primary achievements of the Napoleonic Code?,"It removed birth privileges, established equality before the law, and secured property rights."
How did Napoleon affect the feudal system in territories like the Dutch Republic and Germany?,He abolished the feudal system and freed peasants from serfdom and manorial dues.
Why did businessmen and small producers favor uniform laws and a common national currency under Napoleon?,To facilitate the movement and exchange of goods and capital between regions.
Why did initial European enthusiasm for French rule eventually turn to hostility?,Administrative reforms did not include political freedom and were accompanied by increased taxation and censorship.
"Which empire ruled over a diverse patchwork of regions including Tyrol, Austria, Bohemia, and Lombardy?",The Habsburg Empire.
What was the only common tie binding the diverse groups within the Habsburg Empire?,A common allegiance to the emperor.
"In mid-18th-century Europe, which social class was numerically small but politically dominant?",The landed aristocracy.
Which language did the European aristocracy use for diplomacy and high society?,French.
The growth of which two factors led to the emergence of the commercial middle classes in Europe?,Industrial production and trade.
What did 'liberalism' stand for politically for the new middle classes?,"Individual freedom, equality before the law, and government by consent."
Term: Suffrage,Definition: The right to vote.
"Under the Napoleonic Code, what was the political status of women?","They were reduced to the status of a minor, subject to the authority of fathers and husbands."
"In the economic sphere, what was a key demand of 19th-century liberalism?",Freedom of markets and the abolition of state-imposed restrictions on movement.
How many customs barriers would a merchant pass between Hamburg and Nuremberg in 1833?,Eleven.
What was the 'elle' used for in 19th-century German regions?,It was a measure of cloth that varied in length from region to region.
Term: Zollverein,Definition: A customs union formed in 1834 by Prussia and most German states to abolish tariff barriers.
What was the primary goal of the Zollverein according to Friedrich List?,To bind the Germans economically into a nation and awaken national sentiment.
Term: Conservatism,"Definition: A political philosophy stressing tradition and established institutions, preferring gradual development to quick change."
"Following the defeat of Napoleon in 1815, which European powers met at the Congress of Vienna?","Britain, Russia, Prussia, and Austria."
Who hosted the Congress of Vienna in 1815?,Austrian Chancellor Duke Metternich.
What was the main intention of the Treaty of Vienna (1815)?,To restore monarchies overthrown by Napoleon and create a new conservative order.
Which dynasty was restored to power in France after Napoleon's defeat?,The Bourbon dynasty.
How did the Congress of Vienna attempt to prevent future French expansion?,By setting up a series of states on the boundaries of France.
What happened to the German confederation of 39 states at the Congress of Vienna?,It was left untouched.
How did conservative regimes after 1815 treat criticism and dissent?,"They were autocratic and imposed censorship laws to control newspapers, books, and plays."
Who was the Italian revolutionary that founded the secret societies 'Young Italy' and 'Young Europe'?,Giuseppe Mazzini.
Why was Giuseppe Mazzini sent into exile in 1831?,For attempting a revolution in Liguria.
What did Giuseppe Mazzini believe was the 'natural unit of mankind'?,The nation.
How did Duke Metternich describe Giuseppe Mazzini?,As 'the most dangerous enemy of our social order'.
"Following the July Revolution of 1830 in France, who was installed as the constitutional monarch?",Louis Philippe.
The July Revolution in France sparked an uprising in Brussels that led to the independence of which country?,Belgium (from the United Kingdom of the Netherlands).
Which 1832 treaty recognized Greece as an independent nation?,The Treaty of Constantinople.
Term: Romanticism,"Definition: A cultural movement that criticized reason and science, focusing instead on emotions and intuition to create national sentiment."
"According to Johann Gottfried Herder, where was true German culture to be found?",Among the common people (das volk).
Term: Volksgeist,"Definition: The 'true spirit of the nation' popularised through folk songs, poetry, and dances."
How did the Grimm Brothers contribute to German national identity?,By collecting folktales they believed expressed a pure and authentic German spirit.
How did the Polish people resist Russian dominance after their territory was partitioned?,Through the use of music and the Polish language in religious gatherings.
What were the primary causes of the 1848 popular revolt in Paris?,Food shortages and widespread unemployment.
"In 1845, why did the weavers of Silesia lead a revolt against their contractors?",The contractors drastically reduced payments for finished textiles.
What was the goal of the 831 representatives who met at the Frankfurt parliament in 1848?,To draft a constitution for a unified German nation headed by a monarchy subject to parliament.
Why did King Friedrich Wilhelm IV of Prussia reject the crown offered by the Frankfurt parliament?,He opposed the elected assembly and joined other monarchs to maintain traditional authority.
Term: Feminist,"Definition: Awareness of women’s rights based on the belief in social, economic, and political equality of the genders."
What was the role of women during the convening of the Frankfurt parliament in St. Paul’s Church?,They were admitted only as observers in the visitors' gallery.
Which two major labor reforms were introduced in Russia and the Habsburg dominions after 1848?,The abolition of serfdom and bonded labour.
Who was the chief minister of Prussia and the primary architect of German unification?,Otto von Bismarck.
In which year and location was William I proclaimed German Emperor?,"1871, in the Hall of Mirrors at the Palace of Versailles."
How many wars were fought over seven years to complete the process of German unification?,"Three (against Austria, Denmark, and France)."
"What does the phrase 'When France sneezes, the rest of Europe catches cold' imply about 19th-century politics?",Political events in France often triggered similar revolutionary movements across Europe.
"According to Louise Otto-Peters, why was the exclusion of women from liberty a contradiction?",She argued that 'Liberty is indivisible' and free men should not tolerate surrounding themselves with the unfree.
What did the new German Empire place a strong emphasis on modernizing after 1871?,"The currency, banking, legal, and judicial systems."