In what month and year were elections to the Indian Constituent Assembly held?,July 1946
Which member of the Drafting Committee was an entrepreneur from Tamil Nadu and later served as Finance Minister?,T.T. Krishnamachari
Who was the Vice-Chairman of the Constituent Assembly and a member of the All India Christian Council?,H.C. Mookherjee
Who was the leader of the Panthic Akali Party and the first Defence Minister in the Union Cabinet?,Baldev Singh
Name the advocate and public activist for women's emancipation who founded the Andhra Mahila Sabha:,G. Durgabai Deshmukh
What is the term for the set of basic rules that citizens and the government must follow in a democracy?,Constitution
"As the supreme law of a country, what three main things does a constitution determine?","Rights of citizens, powers of government, and how the government functions."
Who was the leader sentenced to life imprisonment in 1964 for opposing the apartheid regime in South Africa?,Nelson Mandela
For how many years was Nelson Mandela imprisoned in Robben Island?,27 years
Term for the system of racial discrimination unique to South Africa imposed by white Europeans:,Apartheid
What was the population proportion of the 'black' native people in South Africa during the apartheid era?,Three-fourths
"During apartheid, what label was given to people of mixed races in South Africa?",Coloured
"Under the apartheid system, which specific right was denied to all non-whites?",Voting rights
What was the policy of 'segregation' in apartheid-era South Africa?,The separation of all public facilities and living areas for whites and blacks.
Which umbrella organization led the struggle against the policies of segregation in South Africa?,African National Congress (ANC)
"On what date did the new national flag of the Republic of South Africa first unfurl, marking its birth as a democracy?",26 April 1994
Who was the first president of the new democratic South Africa?,Nelson Mandela
What metaphorical name do South Africans use for their multi-racial nation today to celebrate its diversity?,Rainbow nation
"In a democracy, the constitution generates a degree of _____ and coordination necessary for different kinds of people to live together.",Trust
One function of a constitution is to specify who will have the power to take which _____.,Decisions
A constitution lays down _____ on the powers of the government to protect the rights of citizens.,Limits
How does a constitution address the future of a society?,It expresses the aspirations of the people about creating a good society.
In which year did Motilal Nehru and eight other Congress leaders first draft a constitution for India?,1928
Which 1931 session of the Indian National Congress dwelt on how independent India’s constitution should look?,Karachi session
Name one basic value accepted by Indian leaders long before the Constituent Assembly met:,Universal adult franchise (or right to freedom/equality).
Which 1935 colonial law provided many institutional details and procedures adopted by the Indian Constitution?,"Government of India Act, 1935"
The ideals of which revolution inspired Indian leaders to strive for a system based on social and economic equality?,Socialist revolution in Russia
The practice of parliamentary democracy in which country served as an inspiration for the makers of the Indian Constitution?,Britain
Indian leaders were inspired by the Bill of Rights in which country while designing the Constitution?,United States
What is the name of the assembly of elected representatives that drafted the Indian Constitution?,Constituent Assembly
How many members were in the Constituent Assembly that wrote the Indian Constitution?,299
On which date did the Constituent Assembly of India officially adopt the Constitution?,26 November 1949
On which date did the Indian Constitution come into effect?,26 January 1950
What is the reason for celebrating Republic Day on January 26 every year?,It is the day the Indian Constitution came into effect.
Who chaired the Drafting Committee that prepared the draft of the Indian Constitution?,Dr. B.R. Ambedkar
What are the 12 bulky volumes of recorded words spoken in the Constituent Assembly called?,Constituent Assembly Debates
Who served as the President of the Indian Constituent Assembly?,Dr. Rajendra Prasad
Which leader played a decisive role in the integration of Indian princely states and later became the Deputy Prime Minister?,Vallabhbhai Patel
Who was the first Education Minister of independent India and a scholar of Arabic?,Abul Kalam Azad
Which sportsman and educationist founded the Adivasi Maha Sabha and later the Jharkhand Party?,Jaipal Singh
"Although not a member of the Constituent Assembly, whose vision of an India without untouchability influenced many members?",Mahatma Gandhi
In which 1931 magazine did Mahatma Gandhi outline his desires for the Indian Constitution?,Young India
Who founded the Republican Party of India and was the first Law Minister of post-independence India?,Dr. B.R. Ambedkar
What is the introductory statement of the Constitution that contains its philosophy called?,Preamble
"According to the text, a constitution is a set of _____ rules that are accepted by all people living in a country.",Written
What was the main fear of the white minority in South Africa during negotiations for the new constitution?,Protecting their privileges and property.
"In the South African compromise, the white minority agreed to the principle of _____.",Majority rule (and one person one vote).
"In the South African compromise, the black majority agreed that majority rule would not be _____.",Absolute
Which event in 1947 caused a traumatic experience and large-scale violence during the making of the Indian Constitution?,Partition
How did the British leave the status of the princely states during the transition to Indian independence?,"They left it to the rulers to decide to join India, Pakistan, or remain independent."