Which political front used the slogan 'Land to the Tiller' in the 1977 West Bengal elections?,The Left Front
Which party did Chaudhary Devi Lal form in Haryana?,Lok Dal
How many seats did Lok Dal win on its own in the 1987 Haryana Assembly election?,60 out of 90 seats
What is the most common form of democracy in modern times?,People govern through their elected representatives.
Why is direct governance by all people usually impossible in a large community?,Everyone lacks the time and knowledge to take decisions on all matters.
The mechanism by which people can choose their representatives at regular intervals is called an _____.,election
"In a democracy, who makes laws for the people?",The elected representatives chosen by the voters.
"Name the condition of democratic elections that ensures 'one person, one vote, one value'.",Everyone should be able to choose and every vote should have equal value.
Why must political parties and candidates be free to contest elections?,To offer real choices to the voters.
How frequently should elections be held to be considered democratic?,At regular intervals (every few years).
What is the primary demerit of electoral competition at the local level?,It creates a sense of disunity and factionalism.
How does regular electoral competition provide incentives to political parties?,Raising popular issues increases their popularity and chances of future victory.
What analogy is used to explain how political competition forces leaders to serve people?,The way a market forces a shopkeeper to provide good service to make a profit.
What is a 'general election'?,Elections held in all constituencies at the same time or within a few days.
What is the purpose of a 'by-election'?,To fill a vacancy caused by the death or resignation of a member in a single constituency.
India follows an _____-based system of representation.,area
What is an 'electoral constituency'?,A specific area where voters elect one representative to a legislative body.
Into how many constituencies is India divided for Lok Sabha elections?,543
What is the title of the representative elected to the Lok Sabha?,Member of Parliament (MP)
What is the title of the representative elected to a State Legislative Assembly?,Member of Legislative Assembly (MLA)
Why does the Constitution require constituencies to have a roughly equal population?,To ensure that every vote has equal value.
"In local body elections, constituencies are commonly referred to as _____.",wards
Why did the Constitution makers create the system of 'reserved constituencies'?,To ensure weaker sections have a fair chance to be elected to Parliament and Assemblies.
"As of January 2019, how many Lok Sabha seats are reserved for Scheduled Castes (SC)?",84
"As of January 2019, how many Lok Sabha seats are reserved for Scheduled Tribes (ST)?",47
What proportion of seats are reserved for women in rural and urban local bodies?,One-third
Which 2023 Act reserves one-third of seats in Parliament and Legislative Assemblies for women?,"Nari Shakti Vandan Adhiniyam, 2023"
What is the official name of the 'Voters’ List'?,Electoral Roll
What is the minimum age for a citizen to vote in India?,18 years
The principle that every adult citizen has one vote of equal value is known as _____.,universal adult franchise
How often is the Voters' List completely revised in India?,Every five years
What is 'EPIC' in the context of Indian elections?,Election Photo Identity Card
What is the minimum age required to be a candidate in an election in India?,25 years
"In political terms, what is a party 'ticket'?",A political party's formal nomination of a candidate.
What three details must a candidate legally declare before contesting an election?,"Pending serious criminal cases, assets and liabilities, and educational qualifications."
Why is there no formal educational requirement for being an MP or MLA?,The relevant qualification is the ability to understand and represent people's concerns.
How long is the formal election campaign period in India?,Two weeks
Who gave the famous slogan 'Garibi Hatao' (Remove poverty) in the 1971 elections?,Indira Gandhi (Congress Party)
The slogan 'Save Democracy' was used by the Janata Party in 1977 to protest against the _____.,Emergency
N. T. Rama Rao used the slogan 'Protect the Self-Respect of the Telugus' for which party?,Telugu Desam Party
"According to election law, what is the maximum spending limit for a Lok Sabha constituency?",$` 25$ lakh
"According to election law, what is the maximum spending limit for an Assembly constituency?",$` 10$ lakh
What is the 'Model Code of Conduct'?,A set of guidelines agreed upon by all political parties for election campaigns.
"Under the Code of Conduct, what are ministers prohibited from doing after elections are announced?","Laying foundation stones, taking big policy decisions, or promising public facilities."
What is a 'polling booth'?,"A place, usually a school or government office, where voters go to cast their votes."
Why are agents of candidates allowed to sit inside polling booths?,To ensure that the voting process takes place in a fair way.
What is a 'ballot paper'?,A sheet of paper listing candidate names and party symbols used for voting.
What does 'EVM' stand for?,Electronic Voting Machine
What is the purpose of the VVPAT machine?,It allows voters to verify and confirm that their vote went to the chosen candidate.
For how many seconds is the VVPAT slip visible to the voter?,7 seconds
What was the name of the movement led by Chaudhary Devi Lal in Haryana?,Nyaya Yudh (Struggle for Justice)
Who invites the leader of the majority party to form a state government?,The Governor
What happens to the sitting Chief Minister if their party loses the election?,They must resign from their post.
Why do rulers in non-democratic countries often hold elections?,To give a facade of legitimacy or popular support to their rule.
How does the 'area based system' of representation work?,The country is divided into electoral constituencies where voters in each area elect one representative.
Term: Factionalism,"Definition: The splitting of a group or community into smaller, often opposing, sects or parties."
What is the 'security deposit' in the election nomination process?,A sum of money a candidate must pay to the election authorities to contest.
"Under the Code of Conduct, can a candidate use a temple for election propaganda?","No, using any place of worship for election propaganda is prohibited."
Why are criminals and persons of unsound mind sometimes denied the right to vote?,It is a rare restriction applied by law in extreme situations.
What determines the number of constituencies a state has in the Lok Sabha?,The state's population size.