On what specific date did the Government of India issue the Office Memorandum regarding SEBC reservation?,"August 13, 1990."
What does the abbreviation SEBC stand for in the context of Indian government job reservations?,Socially and Educationally Backward Classes.
Who signed the Office Memorandum No. 36012/31/90-Est (SCT) on behalf of the government?,The Joint Secretary in the Department of Personnel and Training.
What percentage of vacancies in civil posts under the Government of India was reserved for SEBC by the 1990 Order?,27 percent.
"Before the 1990 Office Memorandum, which two categories were already eligible for job reservations?",Scheduled Castes and Scheduled Tribes.
Which institution is the highest formal authority in India and serves as the head of the state?,The President.
Who is the head of the government in India and exercises most governmental powers?,The Prime Minister.
The Indian Parliament is composed of the President and which two Houses?,Lok Sabha and Rajya Sabha.
What was the popular name for the Second Backward Classes Commission appointed in 1979?,The Mandal Commission.
Who was the head of the Second Backward Classes Commission established in 1979?,B.P. Mandal.
In what year did the Mandal Commission submit its report to the Government of India?,1980.
Which political party promised to implement the Mandal Commission report in its 1989 election manifesto?,Janata Dal.
Who became the Prime Minister of India following the 1989 Lok Sabha elections?,V. P. Singh.
What was the name of the Supreme Court case that combined all petitions against the 27% reservation order?,Indira Sawhney and others vs. Union of India.
In which year did the Supreme Court of India declare the reservation order for SEBC as valid?,1992.
What modification did the Supreme Court require the government to make to the original reservation order?,Well-to-do persons among the backward classes (creamy layer) should be excluded from benefits.
The dispute over the Mandal Commission recommendations finally ended with a new Office Memorandum on which date?,"September 8, 1993."
Term: Institutions,"Definition: Formal arrangements in a democracy that perform assigned functions like law-making, implementation, or dispute resolution."
Which institution is responsible for taking all important policy decisions in India?,The Prime Minister and the Cabinet.
Which group of functionaries is responsible for taking steps to implement the decisions made by ministers?,Civil Servants.
Which institution settles disputes between citizens and the government in India?,The Supreme Court.
What is the primary reason democratic governments utilize institutions despite the delays they may cause?,To ensure a wider set of people are consulted and to prevent the rushing of bad decisions.
What is the national assembly of elected representatives called in India?,Parliament.
What is the state-level assembly of elected representatives called in India?,Legislature or Legislative Assembly.
Which body is the final authority for making laws in any country?,Parliament.
Under what condition can those who run the government take decisions in a system like India's?,They must enjoy the support of the Parliament.
Which house of the Indian Parliament is commonly referred to as the 'Council of States'?,Rajya Sabha.
Which house of the Indian Parliament is commonly referred to as the 'House of the People'?,Lok Sabha.
How do laws made in the Houses of Parliament finally come into force?,They must receive the assent of the President.
"In case of a disagreement between the two Houses on an ordinary law, how is the final decision taken?",In a joint session of both Houses.
Which House of Parliament has supreme power over money matters and the government budget?,Lok Sabha.
How many days can the Rajya Sabha delay a money bill passed by the Lok Sabha?,14 days.
What happens if a majority of Lok Sabha members pass a 'no confidence' motion against the Council of Ministers?,"All ministers, including the Prime Minister, must quit."
"Which category of the executive is elected by the people for a specific, short-term period?",Political executive.
Which category of the executive is appointed on a long-term basis and remains in office regardless of changes in the ruling party?,Permanent executive (or civil services).
"In a democracy, why does the minister have the final say over the technically expert civil servant?",The minister is an elected representative of the people and embodies the will of the people.
How is the Prime Minister of India selected?,The President appoints the leader of the majority party or coalition in the Lok Sabha.
What is the official name for the body that includes all the Ministers in the Indian government?,Council of Ministers.
Which group within the Council of Ministers serves as the inner ring and takes decisions in its name?,The Cabinet.
What is the approximate number of ministers in the Cabinet?,About 25 ministers.
Which type of ministers are usually in-charge of smaller ministries and only attend Cabinet meetings when invited?,Ministers of State with independent charge.
"What is the principle that all ministers must publicly support every Cabinet decision, regardless of their private opinions?",Collective responsibility (or the Cabinet working as a team).
Who chairs the Cabinet meetings and coordinates the work of different Departments?,The Prime Minister.
What happens to the entire ministry if the Prime Minister resigns from office?,The entire ministry quits.
How has the rise of coalition politics constrained the power of the Prime Minister?,The PM must accommodate different groups and factions within the alliance and heed the views of coalition partners.
How is the President of India elected?,By elected Members of Parliament (MPs) and elected Members of the Legislative Assemblies (MLAs).
The President of India exercises her powers only on the advice of which body?,The Council of Ministers.
What is the President's role regarding a bill passed by Parliament?,"She can delay it or send it back for reconsideration, but must sign it if Parliament passes it again."
Under what circumstance does the President use personal discretion to appoint a Prime Minister?,When no single party or coalition gets a clear majority in the Lok Sabha.
Who is the supreme commander of the defence forces of India?,The President.