What three elements must be combined to make a government truly democratic?,"Periodic free and fair elections, institutional rules and procedures, and the enjoyment of rights."
"In a democracy, what specific function do citizens' rights serve regarding the power of elected rulers?",They set limits on what the government can do.
About 600 people were secretly imprisoned by US forces in _____ near Cuba after the September 11 attacks.,Guantánamo Bay
Why were prisoners in Guantánamo Bay unable to challenge their detention in US courts?,There was no trial before any magistrate in the US for these prisoners.
Which international human rights organization reported that prisoners in Guantánamo Bay were being tortured?,Amnesty International
How did the US government respond to the UN Secretary General's recommendation to close the Guantánamo Bay prison?,The US government refused to accept the plea.
How is the ruler of Saudi Arabia selected?,The country is ruled by a hereditary king.
"In Saudi Arabia, what role do citizens play in electing or changing their rulers?",Citizens have no role in electing or changing their rulers.
What is the status of non-Muslim religions in Saudi Arabia?,Non-Muslims can follow their religion in private but not in public.
"In Saudi Arabia, the legal testimony of one man is considered equal to that of how many women?",Two women
"Before Yugoslavia split, which ethnic group held the majority in the province of Kosovo?",Ethnic Albanians
Which Serb nationalist leader led the ethnic massacre against Albanians in Kosovo?,Milosevic
What was the final outcome for Milosevic after he lost power in Yugoslavia?,He was tried by the International Court of Justice for crimes against humanity.
What are the three essential qualities of a 'right'?,Rights are reasonable claims recognized by society and sanctioned by law.
Why does a right necessarily come with an obligation to respect the rights of others?,Because a right is only possible when the claim is equally possible for everyone else.
What gives a socially recognized claim 'real force'?,When the claim is written into law.
"In a democracy, why do citizens need the right to express opinions and form political parties?",To ensure that democratic elections can take place fairly.
How do rights protect minorities in a democratic system?,They ensure the majority cannot use its power to oppress or dominate the minority.
"In India, what are the rights that are given a special status and are fundamental to life called?",Fundamental Rights
What does 'Equality before the law' mean in a democracy?,The laws apply in the same manner to everyone regardless of their status.
Which concept serves as the foundation of any democracy and implies no person is above the law?,Rule of Law
On what five specific grounds does the Indian Constitution prohibit government discrimination?,"Religion, race, caste, sex, or place of birth."
Why is job reservation for Scheduled Castes not a violation of the Right to Equality?,"Equality means giving everyone an equal opportunity, which sometimes requires special treatment for those in need."
Which specific social practice was forbidden by the Constitution to end extreme discrimination based on birth?,Untouchability
"Under the Right to Freedom, what are the six specific freedoms granted to Indian citizens?","Speech/expression, peaceful assembly, forming associations, free movement, residence anywhere in India, and practicing any profession."
What is the primary restriction on exercising the Right to Freedom in India?,One cannot exercise freedom in a manner that violates others' right to freedom or causes public disorder.
Is the freedom of speech an absolute license to instigate violence against others?,"No, the government can impose reasonable restrictions to prevent the instigation of violence or defamation."
What is the constitutional requirement for depriving a person of their life or personal liberty?,It must be done according to procedure established by law.
Within what timeframe must an arrested person be produced before a magistrate?,24 hours
What legal protections are granted to a person at the time of their arrest?,They must be informed of the reason for arrest and have the right to consult a lawyer.
Which three specific 'evils' are prohibited under the Right against Exploitation?,"Traffic in human beings, forced labor (begar), and child labor."
Term: Begar,Definition: A practice where a worker is forced to render service free of charge or for nominal pay.
What is the minimum legal age for employment in hazardous work like factories or mines in India?,14 years
What does 'secularism' imply regarding the state's relationship with various religions?,"The state remains neutral and impartial, without establishing any official religion."
Does the right to propagate religion allow a person to forcibly convert others?,"No, a person is free to change religion only of their own will."
Are religious instructions allowed in educational institutions managed by the government?,"No, there shall be no religious instruction in government educational institutions."
Why does the Indian Constitution specify cultural and educational rights specifically for minorities?,"To ensure their language, culture, and religion are not neglected or undermined by the majority."
"In India, what constitutes a 'minority' for cultural and educational rights?",Groups based on either religion or language that are in the minority in a particular area.
Which fundamental right allows citizens to approach the Supreme Court directly if their other rights are violated?,Right to Constitutional Remedies
Which individual referred to the Right to Constitutional Remedies as the 'heart and soul' of the Constitution?,Dr. B.R. Ambedkar
Term: Writ,Definition: A formal document containing an order issued by a High Court or the Supreme Court to the government.
What is Public Interest Litigation (PIL)?,A mechanism where any citizen can approach the court to protect public interest against a government law or action.
What is the primary role of the National Human Rights Commission (NHRC)?,To make independent and credible inquiries into cases of human rights violations.
Who appoints the members of the National Human Rights Commission?,The President of India
Can the National Human Rights Commission (NHRC) punish those found guilty of violations?,"No, only the courts have the power to punish the guilty."
The Right to Information was enacted by Parliament under which Fundamental Right?,Right to freedom of thought and expression.
To which broader right has the Supreme Court recently expanded the meaning of the 'Right to Life'?,Right to Food
Is the 'Right to Property' a Fundamental Right in India?,"No, it is a constitutional right but not a fundamental right."
Which country's constitution guarantees a right to an environment that is not harmful to health?,South Africa
Term: Amnesty International,Definition: An international organization of volunteers that campaigns for human rights and reports on violations worldwide.
Term: Ethnic group,"Definition: A population whose members identify with each other based on common ancestry, cultural practices, or historical memories."
The right of minorites to establish and administer educational institutions is part of which Fundamental Right?,Cultural and Educational Rights
"Under the Right to Freedom of Religion, can the government compel citizens to pay taxes for the maintenance of a specific temple?","No, the government cannot compel taxes for the promotion or maintenance of any particular religion."
What must happen within 24 hours of a person being arrested by the police?,They must be produced before the nearest magistrate.
The practice of 'traffic in human beings' refers primarily to the buying and selling of people for _____.,Immoral purposes