What is the system of government where power is divided between a central authority and various constituent units?,Federalism
"In a federal system, which level of government is usually responsible for subjects of common national interest?",The central government (government for the entire country).
How do the powers of state governments in a federation compare to those in a unitary system?,"In a federation, state governments have powers of their own and are not answerable to the central government."
One of the key features of federalism is that there are _____ or more levels of government.,Two
Term: Jurisdiction,"Definition: The area over which someone has legal authority, defined by geographical boundaries or specific subjects."
Where are the jurisdictions of the different tiers of government specified in a federal system?,In the Constitution.
What is required to change the fundamental provisions of a federal constitution?,The consent of both levels of government.
"In a federation, which institution acts as an 'umpire' if disputes arise between different levels of government?",The highest court (Judiciary).
What are the dual objectives of a federal system?,To safeguard and promote national unity while accommodating regional diversity.
Which two aspects are considered crucial for the practice of federalism?,Mutual trust and an agreement to live together.
What characterizes a 'coming together' federation?,Independent states pool their sovereignty and retain identity to increase security by forming a bigger unit.
List three examples of 'coming together' federations provided in the text.,"USA, Switzerland, and Australia."
What characterizes a 'holding together' federation?,A large country decides to divide its power between the constituent states and the national government.
List three examples of 'holding together' federations provided in the text.,"India, Spain, and Belgium."
In which type of federation does the central government tend to be more powerful vis-à-vis the states?,'Holding together' federations.
"Although the word 'federation' is not used, the Indian Constitution declares India to be a _____.",Union of States
What were the three tiers of Indian federalism after the later additions to the Constitution?,"Union Government, State Governments, and Local Governments (Panchayats/Municipalities)."
"Which list in the Indian Constitution includes subjects like defense, foreign affairs, banking, and currency?",The Union List
Why are subjects of national importance included in the Union List?,To ensure a uniform policy on these matters throughout the country.
Which level of government has the sole power to legislate on subjects in the State List?,State Governments
Identify three subjects found in the State List.,"Police, trade, and agriculture (or commerce/irrigation)."
What is the Concurrent List?,A list of subjects of common interest where both Union and State governments can make laws.
"If a conflict arises between a Union law and a State law on a Concurrent List subject, which law prevails?",The law made by the Union Government.
What are 'residuary' subjects in the context of the Indian Constitution?,Subjects that do not fall into any of the three lists or that emerged after the Constitution was made.
Which level of government has the power to legislate on 'residuary' subjects like computer software?,The Union Government.
Under which Article of the Indian Constitution do states like Nagaland and Mizoram enjoy special powers?,Article 371
What is a common restriction for Indians who are not permanent residents of states with special status under Article 371?,They cannot buy land or a house there.
Term: Union Territories,"Definition: Areas too small to be independent states and not merged with existing states, run by the Central Government."
List two examples of Union Territories in India.,Chandigarh and Lakshadweep (or Delhi).
"To change the power-sharing arrangement in India, a bill must pass both Houses of Parliament with a majority of at least _____.",$\frac{2}{3}$
"After passing Parliament, a constitutional change to power-sharing must be ratified by legislatures of at least _____ of the total States.",$\frac{1}{2}$
What was the first major test for democratic politics and federalism in independent India?,The creation of linguistic States.
"Besides language, what other factors were used to recognize differences when creating states like Jharkhand and Uttarakhand?","Culture, ethnicity, or geography."
What has been the long-term effect of forming linguistic states on India?,It has made the country more united and administration easier.
"According to the Indian Constitution, what is the status of Hindi?",It is the official language (not the national language).
How many languages are recognized as 'Scheduled Languages' by the Indian Constitution?,22
The use of _____ for official purposes was originally supposed to stop in 1965 but continued due to demands from non-Hindi states.,English
What characterizes the 'era of coalition governments' at the Centre starting in 1990?,"No single party got a majority in the Lok Sabha, forcing national parties to ally with regional parties."
How did the rise of regional parties and coalition governments strengthen federalism?,It led to a new culture of power sharing and respect for the autonomy of State Governments.
Term: Decentralization,Definition: The process where power is taken away from Central and State governments and given to local government.
What is the basic idea or rationale behind decentralization?,Local problems and issues are best settled at the local level because people have better knowledge of their localities.
Which year saw a major constitutional amendment to make the third tier of Indian democracy more powerful?,1992
What proportion of positions in local government bodies is reserved for women in India?,At least $\frac{1}{3}$
Which independent institution was created in each state to conduct panchayat and municipal elections?,The State Election Commission.
What is the popular name for rural local government in India?,Panchayati Raj
Who is the president of a Gram Panchayat?,The Sarpanch.
What body is formed when a few gram panchayats are grouped together?,A Panchayat Samiti (or block/mandal).
Who constitutes the Zilla Parishad?,All the panchayat samitis or mandals in a district.
What is the title of the political head of a Municipal Corporation?,Mayor
Approximately how many elected representatives are there in India's panchayats and municipalities combined?,36 lakh
"In a federal system, who has the power to raise resources for carrying out responsibilities?",Both the Union and State Governments (through levying taxes).
"According to the 2011 Census, Hindi is the mother tongue of approximately what percentage of the Indian population?",44 percent