The gender division of labor is primarily based on social expectations and _____ rather than biology.,Stereotypes
What is the definition of the 'sexual division of labour'?,A system where all housework is done or organized by the women of the family.
"In urban areas, what is a common occupation for women from the middle class?",Working in offices.
Term: Feminist,Definition: A person (man or woman) who believes in equal rights and opportunities for both genders.
Which group of countries is cited for having very high female participation in public life?,"Scandinavian countries (e.g., Sweden, Norway, and Finland)."
The system that values men more and gives them power over women is known as _____.,Patriarchy
"According to the source, what is the literacy rate among women in India compared to men?",$54\%$ for women and $76\%$ for men.
Why do many girl students in India drop out of higher studies despite performing well?,Parents often prefer to spend resources on their sons' education.
Which 1976 Indian law mandates that equal wages be paid for equal work?,The Equal Remuneration Act.
What was India's child sex ratio (girls per $1000$ boys) according to the 2011 Census?,$919$.
What percentage of the Lok Sabha did elected women members reach for the first time in 2019?,$14.36\%$.
"In Indian State Assemblies, women's representation generally remains below _____.",$5\%$.
What proportion of seats in Indian local government bodies (Panchayats and Municipalities) is reserved for women?,One-third.
The 2023 Act that reserves $33\%$ of seats for women in the Lok Sabha and State Assemblies is the _____.,Nari Shakti Vandan Adhiniyam
What did Mahatma Gandhi believe should guide politics?,Ethics drawn from religion.
Why do women's movements demand changes to 'family laws'?,To eliminate discrimination against women and make the laws more equitable.
Term: Family Laws,"Definition: Laws governing marriage, divorce, adoption, and inheritance that differ by religion in India."
The problem of communalism begins when _____ is seen as the sole basis of the nation.,Religion
"When a majority religious community uses state power to establish dominance, it is called _____ dominance.",Majoritarian
How is communalism expressed in electoral politics through mobilization?,"Through the use of sacred symbols, religious leaders, and emotional appeals."
Which historical event in South Asia involved the most extreme form of communal violence and massacre?,The Partition of India and Pakistan.
What is the official religion of the Indian state?,There is no official religion; India is a secular state.
How does the Indian Constitution ensure equality within religious communities regarding social practices?,"It allows the state to intervene, such as by banning untouchability."
What distinguishes the Indian caste system from other systems of social division of labor?,Hereditary occupational division is sanctioned by rituals.
List two social reformers who worked to establish a society without caste inequalities in India.,Jotiba Phule and B.R. Ambedkar.
The ladder-like formation where caste groups are placed from 'highest' to 'lowest' is called _____.,Caste hierarchy
Term: Urbanisation,Definition: The shift of population from rural areas to urban areas.
Term: Occupational Mobility,"Definition: The shift from one occupation to another, often occurring across generations."
Which caste groups in India have generally done better at acquiring modern education?,Those that had access to education under the old system (upper castes).
The Census of India officially counts which two specific social groups?,Scheduled Castes (SC) and Scheduled Tribes (ST).
"According to the 2011 Census, what percentage of the population do Scheduled Castes comprise?",$16.6\%$.
"According to the 2011 Census, what percentage of the population do Scheduled Tribes comprise?",$8.6\%$.
What is the 2004–05 National Sample Survey estimate for the population proportion of Other Backward Classes (OBC)?,Around $41\%$.
Which religious community in India has the highest population proportion at $79.8\%$?,Hindu
What is the population proportion of the Muslim community in India according to the 2011 Census?,$14.2\%$.
The Sachar Committee estimated that the proportion of Muslims would likely increase by only _____% in the next 50 years.,$3$ to $4\%$.
"In rural India (1999-2000), which caste/community group had the highest percentage living below the poverty line?",Scheduled Tribes ($45.8\%$).
Which group is heavily over-represented among the urban middle classes in India?,Upper castes.
How do political parties use caste composition when choosing candidates for elections?,They nominate candidates from different castes to muster necessary support from the electorate.
What is meant by the term 'vote bank' in the context of caste politics?,It indicates that a large proportion of voters from a specific caste vote for a particular party.
How many parliamentary constituencies in India have a clear majority of one single caste?,None.
Why is the assessment of government performance often more decisive than caste in Indian elections?,Because ruling parties and sitting representatives frequently lose elections despite caste calculations.
Politics influences the caste system by _____ caste groups into the political arena.,Bringing
Caste groups often try to become bigger by incorporating neighboring _____.,Sub-castes
What are the two new categories of caste groups that have emerged in the political arena?,'Backward' and 'forward' caste groups.
How can the expression of caste in politics be positive for democracy?,It provides disadvantaged communities the space to demand their share of power.
What is a major negative result of exclusive attention to caste in politics?,"It can divert attention from pressing issues like poverty, development, and corruption."
Which committee provided expert estimates on the future population proportion of Muslims in India?,The Sachar Committee.
"According to the Time Use Survey, an average Indian woman works for how much longer than an average man daily?",One hour.
Why is men's work often more 'visible' than women's work in economic surveys?,Most of men's work leads to the direct generation of income.
"In India, what defines a 'Scheduled' caste or tribe?",They are castes or tribes whose names are listed in an official Schedule of the Constitution.
What was the status of Buddhism in Sri Lanka and Islam in Pakistan as mentioned in the text?,They are given the status of official religions in those states.
Communalism leads to the belief that followers of different religions cannot belong to the same _____.,Social community
Which group of people in India are referred to as 'Adivasis'?,Scheduled Tribes.
Which group in India were previously regarded as 'outcaste' and subjected to untouchability?,Scheduled Castes (Dalits).
The percentage of women in direct Lok Sabha elections reached _____ in 2019.,$14.36\%$.
What was the poverty rate for Hindu Upper Castes in urban areas in 1999–2000?,$9.9\%$.
The Indian Constitution prohibits discrimination specifically on the grounds of _____.,Religion
"In 1999-2000, which urban group had the lowest percentage living below the poverty line?",Other Upper Castes ($2.7\%$).
Which form of social division is described as 'special to India'?,Caste division.
Radical women's movements aimed at equality in personal and family life are called _____ movements.,Feminist
What is the primary basis of 'communal politics'?,The idea that religion is the principal basis of social community.
Caste continues to be strongly linked to _____ status in contemporary India.,Economic
What is the average daily time spent by women on household and related work according to the survey?,$5$ hours.
"What proportion of India's population do SC, ST, and OBC together account for?",About two-thirds.