What is the definition of a political party?,A group of people who come together to contest elections and hold power in the government.
On what do members of a political party typically agree to promote the collective good?,Specific policies and programmes for the society.
"Because parties represent a specific part of society and uphold certain interests, they are said to involve _____.",Partisanship
Term: Partisan,"Definition: A person strongly committed to a party, group, or faction, often unable to take a balanced view."
List the three essential components of a political party.,"The leaders, the active members, and the followers."
"In most democracies, how are elections primarily fought?",Among candidates put up by political parties.
How are political candidates typically chosen in the United States?,By the members and supporters of the party.
"In India, who is responsible for choosing candidates for elections in most parties?",Top party leaders.
How do political parties handle the vast multitude of different public opinions in a democracy?,They group similar opinions into a few basic positions to provide policy direction.
Why do members of a legislature often vote according to party leadership rather than personal opinion?,Because parties play a decisive role in law-making and direct their members' votes.
Who recruits and trains leaders to become ministers and run the government?,Political parties.
What is the primary role of parties that lose an election?,They act as the opposition to the party in power.
What are two ways opposition parties check the power of the ruling party?,By voicing different views and criticising failures or wrong policies.
How do political parties often use pressure groups in a society?,Pressure groups frequently act as extensions of political parties among different sections of society.
"For an ordinary citizen, why is a local party leader often more accessible than a government officer?",Parties must be responsive to people's needs to avoid being rejected in future elections.
Why would the utility of a government formed solely by independent candidates be uncertain?,No one would be responsible for how the country is run or able to promise major policy changes.
"Independent elected representatives are accountable only to their _____, rather than the whole country.",Constituency
The rise of political parties is directly linked to the emergence of _____ democracies.,Representative
What is a 'one-party system'?,A system where only one party is allowed to control and run the government.
Provide an example of a country that utilizes a one-party system.,China (governed by the Communist Party).
Why is a one-party system not considered a democratic option?,It does not allow for free competition or a fair chance for other parties to come to power.
What is a 'two-party system'?,"A system where power usually alternates between two main parties, despite other parties existing."
Name two countries that are examples of a two-party system.,The United States of America and the United Kingdom.
What is a 'multi-party system'?,A system where several parties compete and more than two have a reasonable chance of winning power.
"When parties in a multi-party system join together to contest elections, it is called an _____ or a front.",Alliance
Name one of the three major Indian alliances from the 2004 parliamentary elections.,"The National Democratic Alliance (NDA), United Progressive Alliance (UPA), or the Left Front."
What is a primary criticism of the multi-party system?,It often appears messy and can lead to political instability.
What is a primary benefit of the multi-party system?,It allows a wide variety of interests and opinions to enjoy political representation.
Why did India evolve into a multi-party system instead of a two-party system?,Its social and geographical diversity is too large to be absorbed by only two or three parties.
What is a 'National Party' in a federal system like India?,A country-wide party with units in various states that follow the same national policies and strategies.
Which body is responsible for registering and recognizing political parties in India?,The Election Commission of India.
What is a 'recognized political party'?,A party granted a unique election symbol and special facilities by the Election Commission.
"To be recognized as a 'State party', what percentage of total votes must a party secure in a Legislative Assembly election?",At least 6 per cent.
What is the minimum number of seats a party must win in a State Assembly to be recognized as a 'State party'?,Two seats.
What vote percentage is required for a party to be recognized as a 'National party'?,At least 6 per cent of total votes in Lok Sabha or Assembly elections in four States.
"To be recognized as a 'National party', how many seats must a party win in the Lok Sabha?",At least four seats.
How many recognized national parties existed in India according to the 2023 Election Commission notification?,Six.
When was the Aam Aadmi Party (AAP) formed?,26 November 2012.
The AAP was founded following which major social movement?,The 2011 anti-corruption movement.
Which party was founded by Kanshi Ram in 1984?,Bahujan Samaj Party (BSP).
Which social groups does the Bahujan Samaj Party (BSP) primarily seek to represent?,"Dalits, adivasis, OBCs, and religious minorities."
The Bharatiya Janata Party (BJP) was founded in 1980 by reviving which former party?,The Bharatiya Jana Sangh.
Who founded the Bharatiya Jana Sangh in 1951?,Syama Prasad Mukherjee.
Which ideological element is central to the BJP's conception of Indian nationhood?,Cultural nationalism (or 'Hindutva').
Which party advocates for a uniform civil code and a ban on religious conversions?,Bharatiya Janata Party (BJP).
When was the Communist Party of India - Marxist (CPI-M) founded?,1964.
What is the core ideology of the CPI-M?,Marxism-Leninism.
In which Indian state was the CPI-M in power for 34 consecutive years?,West Bengal.
When was the Indian National Congress (INC) founded?,1885.
Under whose leadership did the INC seek to build a modern secular democratic republic after independence?,Jawaharlal Nehru.
How is the Indian National Congress (INC) described in terms of ideological orientation?,A centrist party (neither rightist nor leftist).
Which alliance did the INC lead from 2004 to 2019?,United Progressive Alliance (UPA).
Which party was formed in July 2013 under the leadership of P.A. Sangma?,National People’s Party (NPP).
What is significant about the National People’s Party (NPP) regarding its regional origin?,It is the first political party from North East India to attain national party status.
"True or False: In South Asia, political parties enjoy a high level of public trust.",False (they are among the least trusted institutions).
How has the proportion of citizens reporting party membership in India changed over the last three decades?,It has gone up steadily.
Term: Ruling Party,Definition: The political party that currently runs the government.
"Which party draws inspiration from the teachings of Sahu Maharaj, Mahatma Phule, and B.R. Ambedkar?",Bahujan Samaj Party (BSP).
The BJP's support base expanded significantly in the _____.,1990s
Which party is particularly critical of new economic policies that allow free flow of foreign capital?,Communist Party of India - Marxist (CPI-M).
The criteria for being a recognized party are based on the proportion of _____ and _____ a party receives.,Votes; seats
"In a democracy, the variety of social divisions is often negotiated through _____.",Political parties
How many seats did the BJP win in the 2019 Lok Sabha elections?,303 seats.
Which party supports new economic reforms but emphasizes they must have a 'human face'?,Indian National Congress (INC).
What percentage of the vote did the INC win in the 2019 Lok Sabha election?,19.5%.
A situation where no party has a majority and several parties join to form a government is called a _____ government.,Coalition